"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 16, 2024","104.182","104.240","104.580","104.065","13.55K","-0.02%"
"Feb 15, 2024","104.200","104.555","104.625","104.080","14.85K","-0.39%"
"Feb 14, 2024","104.612","104.750","104.875","104.545","12.32K","-0.23%"
"Feb 13, 2024","104.850","104.020","104.855","103.365","22.57K","0.77%"
"Feb 12, 2024","104.047","103.975","104.150","103.765","9.48K","0.05%"
"Feb 09, 2024","103.993","104.045","104.135","103.830","9.46K","-0.04%"
"Feb 08, 2024","104.037","103.885","104.300","103.835","11.24K","0.12%"
"Feb 07, 2024","103.917","103.995","104.025","103.805","11.26K","-0.15%"
"Feb 06, 2024","104.068","104.295","104.450","103.995","15.24K","-0.24%"
"Feb 05, 2024","104.319","103.910","104.465","103.840","20.76K","0.52%"
"Feb 02, 2024","103.781","102.895","103.895","102.735","31.48K","0.88%"
"Feb 01, 2024","102.872","103.380","103.655","102.840","23.80K","-0.21%"
"Jan 31, 2024","103.089","103.250","103.565","102.755","25.38K","-0.12%"
"Jan 30, 2024","103.215","103.180","103.435","102.970","9.41K","-0.20%"
"Jan 29, 2024","103.421","103.305","103.640","103.215","12.27K","0.18%"
"Jan 26, 2024","103.234","103.345","103.535","102.935","14.22K","-0.13%"
"Jan 25, 2024","103.370","103.140","103.485","102.915","15.26K","0.32%"
"Jan 24, 2024","103.039","103.305","103.340","102.555","20.41K","-0.35%"
"Jan 23, 2024","103.402","103.140","103.605","102.780","13.81K","0.28%"
"Jan 22, 2024","103.118","103.035","103.160","102.900","8.96K","0.05%"
"Jan 19, 2024","103.069","103.140","103.325","103.010","9.61K","-0.24%"
"Jan 18, 2024","103.312","103.065","103.405","102.925","12.41K","0.10%"
"Jan 17, 2024","103.206","103.070","103.450","103.025","14.75K","0.09%"
"Jan 16, 2024","103.112","102.560","103.175","102.495","21.05K","0.94%"
"Jan 15, 2024","102.151","102.205","102.410","102.055","5.42K","0.00%"
"Jan 12, 2024","102.151","102.035","102.320","101.815","15.34K","0.12%"
"Jan 11, 2024","102.024","102.040","102.510","101.775","18.69K","-0.05%"
"Jan 10, 2024","102.080","102.230","102.360","102.060","9.35K","-0.20%"
"Jan 09, 2024","102.284","101.935","102.385","101.835","12.11K","0.35%"
"Jan 08, 2024","101.928","102.170","102.340","101.785","11.74K","-0.20%"
"Jan 05, 2024","102.129","102.110","102.830","101.615","18.72K","-0.01%"
"Jan 04, 2024","102.135","102.165","102.245","101.865","10.80K","-0.06%"
"Jan 03, 2024","102.195","101.845","102.420","101.770","11.86K","0.30%"
"Jan 02, 2024","101.891","101.065","101.940","101.030","14.74K","0.85%"
"Dec 29, 2023","101.029","100.865","101.115","100.750","12.08K","0.11%"
"Dec 28, 2023","100.913","100.565","100.985","100.320","12.28K","0.26%"
"Dec 27, 2023","100.654","101.185","101.215","100.495","9.39K","-0.45%"
"Dec 26, 2023","101.104","101.310","101.410","101.095","5.10K","-0.23%"
"Dec 22, 2023","101.338","101.425","101.540","101.075","8.93K","-0.14%"
"Dec 21, 2023","101.478","101.990","102.095","101.375","10.66K","-0.55%"
"Dec 20, 2023","102.040","101.815","102.170","101.785","9.51K","0.24%"
"Dec 19, 2023","101.796","102.105","102.260","101.680","11.34K","-0.72%"
"Dec 18, 2023","102.536","102.550","102.550","102.550","0.01K","-0.01%"
"Dec 15, 2023","102.548","102.035","102.645","101.850","7.59K","0.60%"
"Dec 14, 2023","101.940","102.740","102.790","101.765","19.30K","-0.88%"
"Dec 13, 2023","102.848","103.790","104.010","102.740","26.93K","-0.95%"
"Dec 12, 2023","103.839","104.005","104.075","103.445","12.44K","-0.22%"
"Dec 11, 2023","104.064","103.965","104.235","103.905","12.76K","0.08%"
"Dec 08, 2023","103.983","103.500","104.265","103.410","17.52K","0.46%"
"Dec 07, 2023","103.504","104.110","104.170","103.215","19.23K","-0.58%"
"Dec 06, 2023","104.108","103.895","104.190","103.825","10.10K","0.11%"
"Dec 05, 2023","103.995","103.525","104.040","103.495","15.73K","0.34%"
"Dec 04, 2023","103.647","103.115","103.800","102.980","15.89K","0.43%"
"Dec 01, 2023","103.200","103.290","103.665","103.050","16.31K","-0.22%"
"Nov 30, 2023","103.428","102.660","103.520","102.650","18.87K","0.73%"
"Nov 29, 2023","102.676","102.495","102.930","102.380","16.04K","0.03%"
"Nov 28, 2023","102.649","103.045","103.225","102.515","17.21K","-0.44%"
"Nov 27, 2023","103.105","103.315","103.440","103.060","11.78K","-0.19%"
"Nov 24, 2023","103.304","103.630","103.745","103.255","9.24K","-0.50%"
"Nov 23, 2023","103.825","103.740","103.780","103.430","6.69K","0.00%"
"Nov 22, 2023","103.825","103.435","104.115","103.375","18.38K","0.36%"
"Nov 21, 2023","103.449","103.310","103.600","103.070","15.21K","0.13%"
"Nov 20, 2023","103.317","103.710","103.855","103.255","14.12K","-0.46%"
"Nov 17, 2023","103.795","104.250","104.425","103.680","15.85K","-0.42%"
"Nov 16, 2023","104.233","104.225","104.440","103.880","15.83K","-0.03%"
"Nov 15, 2023","104.265","104.045","104.370","103.810","20.71K","0.34%"
"Nov 14, 2023","103.907","105.540","105.765","103.840","31.00K","-1.51%"
"Nov 13, 2023","105.503","105.635","105.820","105.445","10.16K","-0.21%"
"Nov 10, 2023","105.725","105.760","105.960","105.595","10.68K","-0.05%"
"Nov 09, 2023","105.780","105.430","105.830","105.240","16.14K","0.31%"
"Nov 08, 2023","105.448","105.440","105.715","105.295","11.93K","0.07%"
"Nov 07, 2023","105.373","105.130","105.610","105.130","14.56K","0.31%"
"Nov 06, 2023","105.046","104.915","105.120","104.690","13.61K","0.18%"
"Nov 03, 2023","104.859","106.045","106.075","104.780","26.33K","-1.05%"
"Nov 02, 2023","105.977","106.335","106.335","105.650","16.20K","-0.69%"
"Nov 01, 2023","106.715","106.530","106.985","106.450","21.85K","0.21%"
"Oct 31, 2023","106.494","105.995","106.690","105.725","18.45K","0.53%"
"Oct 30, 2023","105.934","106.380","106.530","105.875","13.06K","-0.42%"
"Oct 27, 2023","106.380","106.420","106.625","106.135","15.80K","-0.04%"
"Oct 26, 2023","106.422","106.400","106.780","106.360","16.60K","0.07%"
"Oct 25, 2023","106.352","106.050","106.395","105.965","11.87K","0.26%"
"Oct 24, 2023","106.080","105.395","106.135","105.155","19.12K","0.71%"
"Oct 23, 2023","105.334","105.985","106.150","105.315","15.88K","-0.62%"
"Oct 20, 2023","105.988","106.030","106.230","105.885","10.75K","-0.05%"
"Oct 19, 2023","106.046","106.370","106.485","105.745","17.78K","-0.29%"
"Oct 18, 2023","106.354","106.020","106.435","105.805","13.44K","0.29%"
"Oct 17, 2023","106.046","106.040","106.315","105.810","16.45K","0.01%"
"Oct 16, 2023","106.034","106.405","106.415","105.975","14.01K","-0.38%"
"Oct 13, 2023","106.434","106.290","106.565","106.060","13.28K","0.06%"
"Oct 12, 2023","106.367","105.445","106.375","105.290","15.23K","0.76%"
"Oct 11, 2023","105.569","105.505","105.765","105.305","15.34K","0.01%"
"Oct 10, 2023","105.557","105.715","105.990","105.410","14.80K","-0.24%"
"Oct 09, 2023","105.811","106.005","106.340","105.760","14.45K","0.03%"
"Oct 06, 2023","105.784","106.100","106.705","105.680","22.17K","-0.26%"
"Oct 05, 2023","106.065","106.525","106.610","106.050","16.18K","-0.44%"
"Oct 04, 2023","106.530","106.810","106.970","106.245","16.09K","-0.18%"
"Oct 03, 2023","106.719","106.710","107.050","106.510","21.66K","0.11%"
"Oct 02, 2023","106.606","105.880","106.740","105.750","18.68K","0.75%"
"Sep 29, 2023","105.815","105.875","105.940","105.335","25.04K","-0.11%"
"Sep 28, 2023","105.933","106.385","106.475","105.735","19.73K","-0.41%"
"Sep 27, 2023","106.366","105.910","106.540","105.870","18.68K","0.41%"
"Sep 26, 2023","105.930","105.645","105.960","105.560","11.63K","0.23%"
"Sep 25, 2023","105.690","105.260","105.785","105.200","12.61K","0.41%"
"Sep 22, 2023","105.260","105.085","105.465","104.995","13.22K","0.21%"
"Sep 21, 2023","105.044","105.130","105.440","104.960","16.09K","0.24%"
"Sep 20, 2023","104.788","104.790","105.125","104.345","15.43K","-0.04%"
"Sep 19, 2023","104.832","104.760","104.890","104.465","10.31K","-0.44%"
"Sep 18, 2023","105.292","105.260","105.300","105.200","0.12K","-0.03%"
"Sep 15, 2023","105.325","105.400","105.420","105.085","9.74K","-0.07%"
"Sep 14, 2023","105.395","104.750","105.430","104.565","24.24K","0.62%"
"Sep 13, 2023","104.749","104.585","105.000","104.500","24.40K","0.06%"
"Sep 12, 2023","104.690","104.560","104.905","104.400","16.20K","0.14%"
"Sep 11, 2023","104.539","104.840","104.905","104.390","17.46K","-0.50%"
"Sep 08, 2023","105.066","105.020","105.070","104.630","21.73K","0.04%"
"Sep 07, 2023","105.028","104.830","105.125","104.785","15.07K","0.20%"
"Sep 06, 2023","104.821","104.720","105.015","104.550","12.58K","0.06%"
"Sep 05, 2023","104.763","104.100","104.855","104.070","15.42K","0.55%"
"Sep 04, 2023","104.191","104.200","104.245","103.980","4.23K","0.00%"
"Sep 01, 2023","104.191","103.585","104.255","103.215","19.16K","0.58%"
"Aug 31, 2023","103.587","103.085","103.690","102.955","17.59K","0.48%"
"Aug 30, 2023","103.093","103.480","103.635","102.855","18.83K","-0.37%"
"Aug 29, 2023","103.471","103.905","104.295","103.305","18.40K","-0.50%"
"Aug 28, 2023","103.992","104.155","104.155","103.925","9.95K","-0.02%"
"Aug 25, 2023","104.013","104.015","104.385","103.675","20.83K","0.09%"
"Aug 24, 2023","103.919","103.275","103.965","103.190","16.06K","0.57%"
"Aug 23, 2023","103.333","103.515","103.905","103.215","19.58K","-0.14%"
"Aug 22, 2023","103.473","103.220","103.625","102.925","16.28K","0.26%"
"Aug 21, 2023","103.206","103.270","103.410","103.050","12.44K","-0.07%"
"Aug 18, 2023","103.276","103.310","103.575","103.130","12.52K","-0.19%"
"Aug 17, 2023","103.470","103.365","103.495","102.945","16.79K","0.15%"
"Aug 16, 2023","103.319","103.095","103.410","102.825","14.04K","0.22%"
"Aug 15, 2023","103.095","103.000","103.160","102.680","-","0.04%"
"Aug 14, 2023","103.058","102.715","103.325","102.630","16.47K","0.36%"
"Aug 11, 2023","102.689","102.490","102.765","102.265","17.97K","0.31%"
"Aug 10, 2023","102.367","102.330","102.500","101.600","17.71K","0.05%"
"Aug 09, 2023","102.312","102.350","102.405","102.120","8.12K","-0.03%"
"Aug 08, 2023","102.340","101.895","102.630","101.885","11.41K","0.47%"
"Aug 07, 2023","101.861","101.840","102.190","101.770","-","0.02%"
"Aug 04, 2023","101.836","102.290","102.450","101.550","18.99K","-0.50%"
"Aug 03, 2023","102.350","102.415","102.655","102.175","15.14K","-0.04%"
"Aug 02, 2023","102.389","101.815","102.580","101.785","12.80K","0.30%"
"Aug 01, 2023","102.085","101.660","102.225","101.620","14.73K","0.45%"
"Jul 31, 2023","101.626","101.460","101.665","101.295","-","0.22%"
"Jul 28, 2023","101.399","101.480","101.825","101.095","19.39K","-0.14%"
"Jul 27, 2023","101.544","100.845","101.615","100.320","-","0.90%"
"Jul 26, 2023","100.636","101.055","101.190","100.595","18.45K","-0.46%"
"Jul 25, 2023","101.096","101.150","101.395","100.930","10.85K","0.01%"
"Jul 24, 2023","101.083","100.715","101.160","100.625","14.30K","0.28%"
"Jul 21, 2023","100.798","100.505","100.925","100.450","13.83K","0.20%"
"Jul 20, 2023","100.597","99.965","100.685","99.745","15.36K","0.61%"
"Jul 19, 2023","99.988","99.650","100.245","99.605","13.47K","0.36%"
"Jul 18, 2023","99.625","99.595","99.790","99.220","19.20K","0.10%"
"Jul 17, 2023","99.529","99.665","99.865","99.450","14.61K","-0.08%"
"Jul 14, 2023","99.605","99.465","99.705","99.260","17.93K","0.15%"
"Jul 13, 2023","99.456","100.205","100.295","99.425","13.36K","-0.74%"
"Jul 12, 2023","100.193","101.295","101.295","100.180","21.38K","-1.19%"
"Jul 11, 2023","101.403","101.610","101.650","101.315","11.73K","-0.24%"
"Jul 10, 2023","101.642","101.970","102.235","101.610","13.11K","-0.30%"
"Jul 07, 2023","101.950","102.785","102.875","101.910","19.42K","-0.89%"
"Jul 06, 2023","102.867","103.025","103.275","102.605","21.21K","-0.16%"
"Jul 05, 2023","103.035","102.730","103.055","102.630","11.66K","0.37%"
"Jul 04, 2023","102.654","102.630","102.765","102.550","4.46K","0.00%"
"Jul 03, 2023","102.654","102.645","102.955","102.415","9.27K","0.07%"
"Jun 30, 2023","102.587","103.025","103.230","102.430","12.82K","-0.41%"
"Jun 29, 2023","103.008","102.625","103.110","102.455","13.45K","0.45%"
"Jun 28, 2023","102.548","102.155","102.815","102.120","13.32K","0.41%"
"Jun 27, 2023","102.127","102.385","102.445","101.960","10.82K","-0.20%"
"Jun 26, 2023","102.334","102.510","102.510","102.250","8.36K","-0.20%"
"Jun 23, 2023","102.542","102.005","102.785","101.985","13.13K","0.54%"
"Jun 22, 2023","101.994","101.665","102.085","101.485","13.60K","0.31%"
"Jun 21, 2023","101.676","102.090","102.305","101.620","12.80K","-0.44%"
"Jun 20, 2023","102.125","102.075","102.375","101.920","13.52K","0.28%"
"Jun 19, 2023","101.838","101.875","102.140","101.845","4.53K","-0.41%"
"Jun 16, 2023","102.258","102.110","102.255","102.050","2.37K","0.15%"
"Jun 15, 2023","102.108","102.920","103.360","102.090","10.20K","-0.79%"
"Jun 14, 2023","102.916","103.275","103.385","102.635","19.73K","-0.39%"
"Jun 13, 2023","103.318","103.570","103.610","103.025","20.14K","-0.30%"
"Jun 12, 2023","103.631","103.545","103.740","103.230","13.91K","0.09%"
"Jun 09, 2023","103.533","103.300","103.585","103.280","11.96K","0.21%"
"Jun 08, 2023","103.316","104.005","104.045","103.270","12.49K","-0.71%"
"Jun 07, 2023","104.055","104.035","104.250","103.565","12.57K","-0.02%"
"Jun 06, 2023","104.074","103.950","104.315","103.755","10.57K","0.13%"
"Jun 05, 2023","103.936","103.975","104.360","103.870","12.97K","-0.02%"
"Jun 02, 2023","103.952","103.485","104.035","103.315","12.82K","0.43%"
"Jun 01, 2023","103.502","104.105","104.440","103.435","16.36K","-0.71%"
"May 31, 2023","104.245","103.990","104.615","103.935","16.96K","0.16%"
"May 30, 2023","104.078","104.230","104.445","103.785","11.54K","-0.06%"
"May 29, 2023","104.136","104.175","104.230","103.970","5.27K","0.00%"
"May 26, 2023","104.136","104.165","104.340","103.715","15.66K","-0.04%"
"May 25, 2023","104.175","103.775","104.245","103.775","15.07K","0.36%"
"May 24, 2023","103.799","103.445","103.830","103.260","15.31K","0.40%"
"May 23, 2023","103.385","103.160","103.545","103.055","14.06K","0.30%"
"May 22, 2023","103.079","103.020","103.255","102.845","9.76K","0.00%"
"May 19, 2023","103.079","103.390","103.490","102.870","18.44K","-0.36%"
"May 18, 2023","103.455","102.740","103.490","102.650","13.98K","0.71%"
"May 17, 2023","102.726","102.440","102.960","102.375","9.98K","0.31%"
"May 16, 2023","102.404","102.275","102.535","102.040","10.19K","0.13%"
"May 15, 2023","102.271","102.515","102.585","102.195","12.27K","-0.23%"
"May 12, 2023","102.509","101.905","102.545","101.755","16.12K","0.62%"
"May 11, 2023","101.873","101.220","101.970","101.115","16.11K","0.60%"
"May 10, 2023","101.269","101.415","101.605","101.000","13.69K","-0.13%"
"May 09, 2023","101.399","101.210","101.635","101.155","10.44K","0.24%"
"May 08, 2023","101.155","101.045","101.200","100.825","7.55K","0.15%"
"May 05, 2023","100.999","101.135","101.555","100.900","13.39K","-0.18%"
"May 04, 2023","101.184","101.025","101.415","100.520","21.79K","0.07%"
"May 03, 2023","101.115","101.650","101.700","100.835","17.19K","-0.60%"
"May 02, 2023","101.725","101.930","102.185","101.640","16.72K","-0.19%"
"May 01, 2023","101.920","101.405","101.960","101.390","14.67K","0.51%"
"Apr 28, 2023","101.403","101.210","102.040","101.170","19.70K","0.15%"
"Apr 27, 2023","101.252","101.160","101.560","100.930","11.33K","0.05%"
"Apr 26, 2023","101.205","101.570","101.630","100.740","16.27K","-0.38%"
"Apr 25, 2023","101.592","101.000","101.675","100.930","12.84K","0.51%"
"Apr 24, 2023","101.073","101.450","101.635","101.055","11.95K","-0.47%"
"Apr 21, 2023","101.552","101.520","101.855","101.370","10.51K","-0.01%"
"Apr 20, 2023","101.566","101.695","101.845","101.350","10.87K","-0.10%"
"Apr 19, 2023","101.668","101.430","101.940","101.365","11.48K","0.22%"
"Apr 18, 2023","101.448","101.830","101.855","101.335","10.91K","-0.34%"
"Apr 17, 2023","101.796","101.285","101.925","101.225","12.81K","0.54%"
"Apr 14, 2023","101.245","100.670","101.430","100.420","19.61K","0.54%"
"Apr 13, 2023","100.700","101.170","101.290","100.530","15.17K","-0.47%"
"Apr 12, 2023","101.171","101.795","101.835","101.115","15.77K","-0.70%"
"Apr 11, 2023","101.884","102.170","102.190","101.695","7.76K","-0.36%"
"Apr 10, 2023","102.249","101.730","102.480","101.655","11.16K","0.50%"
"Apr 07, 2023","101.737","101.645","101.980","101.565","-","0.21%"
"Apr 06, 2023","101.519","101.575","101.830","101.435","9.87K","-0.03%"
"Apr 05, 2023","101.545","101.245","101.680","101.090","16.08K","0.27%"
"Apr 04, 2023","101.267","101.735","101.950","101.140","15.26K","-0.51%"
"Apr 03, 2023","101.787","102.270","102.745","101.560","16.16K","-0.39%"
"Mar 31, 2023","102.186","101.905","102.305","101.730","12.30K","0.36%"
"Mar 30, 2023","101.821","102.305","102.460","101.750","8.87K","-0.47%"
"Mar 29, 2023","102.298","102.130","102.440","102.030","10.00K","0.19%"
"Mar 28, 2023","102.106","102.425","102.430","102.040","9.38K","-0.40%"
"Mar 27, 2023","102.518","102.770","102.895","102.480","7.36K","-0.24%"
"Mar 24, 2023","102.764","102.265","103.025","102.165","14.23K","0.54%"
"Mar 23, 2023","102.207","102.095","102.295","101.555","22.48K","0.23%"
"Mar 22, 2023","101.972","102.840","102.910","101.670","19.34K","-0.90%"
"Mar 21, 2023","102.897","102.960","103.145","102.635","12.93K","-0.03%"
"Mar 20, 2023","102.933","103.415","103.640","102.905","14.83K","-0.41%"
"Mar 17, 2023","103.360","104.100","104.125","103.335","18.18K","-0.70%"
"Mar 16, 2023","104.092","104.340","104.405","103.895","27.79K","-0.18%"
"Mar 15, 2023","104.276","103.325","104.720","103.045","27.71K","1.03%"
"Mar 14, 2023","103.215","103.245","103.780","103.085","19.86K","-0.48%"
"Mar 13, 2023","103.713","104.085","104.340","103.730","0.15K","-0.80%"
"Mar 10, 2023","104.552","105.120","105.365","104.025","22.05K","-0.72%"
"Mar 09, 2023","105.305","105.645","105.730","105.135","24.40K","-0.31%"
"Mar 08, 2023","105.634","105.600","105.870","105.335","31.06K","0.04%"
"Mar 07, 2023","105.592","104.275","105.635","104.095","24.98K","1.21%"
"Mar 06, 2023","104.325","104.540","104.665","104.130","21.76K","-0.16%"
"Mar 03, 2023","104.488","104.845","104.985","104.450","19.11K","-0.48%"
"Mar 02, 2023","104.995","104.440","105.155","104.420","18.33K","0.54%"
"Mar 01, 2023","104.432","104.985","105.035","104.045","26.13K","-0.37%"
"Feb 28, 2023","104.825","104.610","104.950","104.360","18.88K","0.19%"
"Feb 27, 2023","104.624","105.210","105.320","104.490","17.99K","-0.51%"
"Feb 24, 2023","105.158","104.445","105.275","104.375","23.92K","0.59%"
"Feb 23, 2023","104.539","104.430","104.735","104.265","15.24K","0.02%"
"Feb 22, 2023","104.523","104.030","104.540","103.945","15.07K","0.39%"
"Feb 21, 2023","104.112","103.850","104.200","103.700","17.92K","0.32%"
"Feb 20, 2023","103.780","103.830","104.020","103.685","9.41K","0.00%"
"Feb 17, 2023","103.780","104.095","104.605","103.765","24.05K","-0.01%"
"Feb 16, 2023","103.791","103.815","104.170","103.465","29.83K","-0.05%"
"Feb 15, 2023","103.839","103.120","104.030","103.070","24.33K","0.69%"
"Feb 14, 2023","103.123","103.100","103.440","102.390","37.12K","-0.12%"
"Feb 13, 2023","103.248","103.435","103.745","103.125","15.17K","-0.28%"
"Feb 10, 2023","103.535","103.120","103.590","102.800","21.58K","0.42%"
"Feb 09, 2023","103.106","103.385","103.450","102.520","21.83K","-0.16%"
"Feb 08, 2023","103.272","103.170","103.385","102.880","17.73K","-0.03%"
"Feb 07, 2023","103.298","103.415","103.850","102.870","27.28K","-0.19%"
"Feb 06, 2023","103.498","102.895","103.650","102.845","37.02K","0.72%"
"Feb 03, 2023","102.755","101.650","102.850","101.380","39.17K","1.16%"
"Feb 02, 2023","101.575","100.750","101.745","100.680","42.49K","0.54%"
"Feb 01, 2023","101.028","101.925","102.015","100.805","36.73K","-0.87%"
"Jan 31, 2023","101.915","102.015","102.450","101.825","31.11K","-0.17%"
"Jan 30, 2023","102.086","101.750","102.125","101.460","21.43K","0.36%"
"Jan 27, 2023","101.721","101.520","101.990","101.490","18.24K","0.08%"
"Jan 26, 2023","101.638","101.395","101.985","101.295","23.08K","0.22%"
"Jan 25, 2023","101.416","101.735","101.890","101.330","23.31K","-0.25%"
"Jan 24, 2023","101.675","101.770","102.205","101.485","22.22K","-0.24%"
"Jan 23, 2023","101.916","101.720","102.040","101.345","21.42K","0.13%"
"Jan 20, 2023","101.781","101.855","102.320","101.700","16.66K","-0.05%"
"Jan 19, 2023","101.831","102.200","102.265","101.760","20.17K","-0.27%"
"Jan 18, 2023","102.107","102.255","102.655","101.265","40.26K","-0.03%"
"Jan 17, 2023","102.141","102.045","102.325","101.680","27.43K","0.19%"
"Jan 16, 2023","101.946","101.900","102.300","101.465","11.92K","0.00%"
"Jan 13, 2023","101.946","102.000","102.395","101.720","24.05K","-0.05%"
"Jan 12, 2023","101.995","102.900","103.100","101.810","52.38K","-0.91%"
"Jan 11, 2023","102.928","102.980","103.230","102.850","22.72K","-0.05%"
"Jan 10, 2023","102.980","102.975","103.250","102.770","20.58K","0.23%"
"Jan 09, 2023","102.743","103.690","103.690","102.680","35.68K","-0.87%"
"Jan 06, 2023","103.646","104.840","105.500","103.620","38.59K","-1.13%"
"Jan 05, 2023","104.828","103.830","105.060","103.780","26.34K","0.78%"
"Jan 04, 2023","104.021","104.375","104.385","103.595","22.70K","-0.28%"
"Jan 03, 2023","104.312","103.445","104.650","103.235","32.36K","1.01%"
"Dec 30, 2022","103.269","103.640","103.865","103.145","22.93K","-0.31%"
"Dec 29, 2022","103.586","104.080","104.215","103.535","14.45K","-0.57%"
"Dec 28, 2022","104.182","104.005","104.270","103.565","19.01K","0.28%"
"Dec 27, 2022","103.893","103.835","104.110","103.585","13.28K","-0.11%"
"Dec 23, 2022","104.010","104.175","104.235","103.815","15.93K","-0.11%"
"Dec 22, 2022","104.127","103.800","104.300","103.435","21.05K","0.27%"
"Dec 21, 2022","103.847","103.625","104.065","103.515","16.95K","0.23%"
"Dec 20, 2022","103.606","104.370","104.415","103.400","30.55K","-0.95%"
"Dec 19, 2022","104.595","104.625","104.655","104.150","0.06K","-0.06%"
"Dec 16, 2022","104.661","104.460","104.815","104.230","15.35K","0.12%"
"Dec 15, 2022","104.532","103.610","104.860","103.500","40.25K","0.76%"
"Dec 14, 2022","103.739","103.990","104.195","103.395","49.73K","-0.20%"
"Dec 13, 2022","103.943","104.940","105.085","103.530","34.51K","-1.10%"
"Dec 12, 2022","105.104","104.850","105.235","104.640","29.21K","0.29%"
"Dec 09, 2022","104.799","104.770","105.200","104.410","38.53K","0.04%"
"Dec 08, 2022","104.756","105.225","105.415","104.685","26.31K","-0.29%"
"Dec 07, 2022","105.056","105.565","105.800","104.820","33.34K","-0.46%"
"Dec 06, 2022","105.542","105.095","105.585","104.850","28.96K","0.29%"
"Dec 05, 2022","105.239","104.435","105.360","104.065","35.49K","0.71%"
"Dec 02, 2022","104.500","104.795","105.575","103.935","43.74K","-0.18%"
"Dec 01, 2022","104.689","105.570","105.860","104.550","43.75K","-1.14%"
"Nov 30, 2022","105.897","106.660","107.150","105.710","37.35K","-0.82%"
"Nov 29, 2022","106.768","106.605","106.820","105.995","24.38K","0.13%"
